Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
5/12/2015 10:10,ASSAULT,BATTERY,Tuesday,SOUTHERN,NONE,200 Block of 11TH ST,-122.4146475,37.77244234
5/12/2015 10:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Tuesday,CENTRAL,NONE,100 Block of CALIFORNIA ST,-122.3981953,37.79337819
5/12/2015 10:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Tuesday,INGLESIDE,NONE,200 Block of NEVADA ST,-122.4114994,37.73900872
5/12/2015 10:00,MISSING PERSON,MISSING ADULT,Tuesday,PARK,NONE,1400 Block of GROVE ST,-122.4404831,37.7755529
5/12/2015 9:50,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,INGLESIDE,"ARREST, BOOKED",400 Block of MONTEREY BL,-122.4454715,37.73165666
5/12/2015 9:30,NON-CRIMINAL,AIDED CASE,Tuesday,NORTHERN,NONE,1100 Block of FRANCISCO ST,-122.4241235,37.80336134
5/12/2015 9:30,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,TARAVAL,NONE,100 Block of MAJESTIC AV,-122.4524809,37.71617935
5/12/2015 9:30,BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY",Tuesday,PARK,NONE,1300 Block of COLE ST,-122.4491381,37.76208405
5/12/2015 9:30,VEHICLE THEFT,STOLEN TRUCK,Tuesday,BAYVIEW,NONE,SILLIMAN ST / SOMERSET ST,-122.4090461,37.73020218
5/12/2015 9:25,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,INGLESIDE,NONE,1700 Block of CHURCH ST,-122.4267012,37.74329433
5/12/2015 9:15,ASSAULT,BATTERY,Tuesday,MISSION,"ARREST, BOOKED",100 Block of EUREKA ST,-122.4382564,37.75987298
5/12/2015 9:15,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Tuesday,MISSION,"ARREST, BOOKED",100 Block of EUREKA ST,-122.4382564,37.75987298
5/12/2015 9:09,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Tuesday,PARK,NONE,1700 Block of TURK ST,-122.4374939,37.77987044
5/12/2015 9:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,300 Block of BEACH ST,-122.4148223,37.80743146
5/12/2015 9:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Tuesday,TARAVAL,NONE,100 Block of LOUISBURG ST,-122.4496455,37.7210803
5/12/2015 8:55,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,TENDERLOIN,NONE,100 Block of JONES ST,-122.4122498,37.78255633
5/12/2015 8:30,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,SOUTHERN,"ARREST, BOOKED",1100 Block of MARKET ST,-122.4135641,37.77951403
5/12/2015 8:27,NON-CRIMINAL,AIDED CASE,Tuesday,TARAVAL,NONE,2600 Block of SAN JOSE AV,-122.4507245,37.71586212
5/12/2015 8:15,ASSAULT,BATTERY,Tuesday,INGLESIDE,NONE,MISSION ST / VIRGINIA AV,-122.4214887,37.74312201
5/12/2015 8:11,NON-CRIMINAL,FIRE REPORT,Tuesday,TARAVAL,NONE,100 Block of FONT BL,-122.4736441,37.71555367
5/12/2015 7:30,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,SOUTHERN,NONE,600 Block of 8TH ST,-122.4046854,37.77062903
5/12/2015 7:10,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,NORTHERN,UNFOUNDED,VANNESS AV / EDDY ST,-122.4208183,37.78289465
5/12/2015 7:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE,1200 Block of MARKET ST,-122.4154442,37.77802457
5/12/2015 7:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Tuesday,MISSION,NONE,4000 Block of 26TH ST,-122.4304676,37.74823983
5/12/2015 6:46,OTHER OFFENSES,TAMPERING WITH A VEHICLE,Tuesday,TARAVAL,NONE,2600 Block of 26TH AV,-122.4828257,37.73844694
5/12/2015 6:45,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,TARAVAL,NONE,100 Block of GRANVILLE WY,-122.4615649,37.7417383
5/12/2015 6:40,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,TARAVAL,NONE,0 Block of DELONG ST,-122.4598694,37.70960617
5/12/2015 6:29,NON-CRIMINAL,AIDED CASE,Tuesday,BAYVIEW,NONE,300 Block of PRINCETON ST,-122.4150679,37.72523436
5/12/2015 6:00,SECONDARY CODES,ATM RELATED CRIME,Tuesday,CENTRAL,NONE,1300 Block of COLUMBUS AV,-122.4192321,37.80647408
5/12/2015 6:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,CENTRAL,NONE,1300 Block of COLUMBUS AV,-122.4192321,37.80647408
5/12/2015 6:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,TARAVAL,NONE,200 Block of SADOWA ST,-122.4608319,37.7122295
5/12/2015 6:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Tuesday,TARAVAL,NONE,400 Block of PLYMOUTH AV,-122.456136,37.7144981
5/12/2015 6:00,FORGERY/COUNTERFEITING,"MONEY, CHANGING FACE AMOUNT",Tuesday,CENTRAL,NONE,500 Block of SANSOME ST,-122.4016054,37.79507461
5/12/2015 6:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,TARAVAL,NONE,JUNIPERO SERRA BL / STRATFORD DR,-122.4725055,37.71850678
5/12/2015 5:15,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Tuesday,CENTRAL,NONE,0 Block of CLAY ST,-122.3961706,37.79548699
5/12/2015 5:00,VEHICLE THEFT,STOLEN TRUCK,Tuesday,SOUTHERN,NONE,FOLSOM ST / 1ST ST,-122.3944849,37.78729824
5/12/2015 4:52,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,SOUTHERN,NONE,500 Block of 5TH ST,-122.3999811,37.77762424
5/12/2015 4:45,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Tuesday,BAYVIEW,"ARREST, BOOKED",1400 Block of NEWCOMB AV,-122.3870359,37.73360265
5/12/2015 4:30,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Tuesday,INGLESIDE,UNFOUNDED,200 Block of ELLINGTON AV,-122.4451366,37.71337126
5/12/2015 4:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,TARAVAL,NONE,0 Block of GRAFTON AV,-122.4536035,37.71998444
5/12/2015 3:47,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,SOUTHERN,"ARREST, BOOKED",BRYANT ST / 2ND ST,-122.3936227,37.78307912
5/12/2015 3:35,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,SOUTHERN,NONE,5TH ST / BRYANT ST,-122.4003024,37.77779923
5/12/2015 3:15,SECONDARY CODES,DOMESTIC VIOLENCE,Tuesday,BAYVIEW,"ARREST, BOOKED",1000 Block of LECONTE AV,-122.3980042,37.71903318
5/12/2015 3:15,ASSAULT,INFLICT INJURY ON COHABITEE,Tuesday,BAYVIEW,"ARREST, BOOKED",1000 Block of LECONTE AV,-122.3980042,37.71903318
5/12/2015 2:25,NON-CRIMINAL,AIDED CASE,Tuesday,SOUTHERN,NONE,5TH ST / BRYANT ST,-122.4003024,37.77779923
5/12/2015 2:00,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Tuesday,PARK,NONE,100 Block of MUSEUM WY,-122.4401347,37.76460487
5/12/2015 1:46,ARSON,ARSON OF A VEHICLE,Tuesday,BAYVIEW,NONE,1400 Block of SELBY ST,-122.4011524,37.73836283
5/12/2015 1:45,LARCENY/THEFT,GRAND THEFT FROM PERSON,Tuesday,MISSION,NONE,19TH ST / SANCARLOS ST,-122.4199787,37.76018856
5/12/2015 1:40,ASSAULT,BATTERY,Tuesday,RICHMOND,"ARREST, BOOKED",4700 Block of GEARY BL,-122.4701904,37.78087579
5/12/2015 1:40,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,RICHMOND,"ARREST, BOOKED",4700 Block of GEARY BL,-122.4701904,37.78087579
5/12/2015 1:40,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,RICHMOND,"ARREST, BOOKED",4700 Block of GEARY BL,-122.4701904,37.78087579
5/12/2015 1:30,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,TARAVAL,NONE,1600 Block of 9TH AV,-122.4657846,37.75749844
5/12/2015 1:15,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,PARK,UNFOUNDED,200 Block of DOWNEY ST,-122.4469169,37.76538453
5/12/2015 1:05,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,INGLESIDE,"ARREST, BOOKED",MISSION ST / 29TH ST,-122.4208966,37.74403815
5/12/2015 1:01,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,BAYVIEW,"ARREST, BOOKED",100 Block of FELTON ST,-122.4061146,37.7296971
5/12/2015 1:01,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Tuesday,BAYVIEW,"ARREST, BOOKED",100 Block of FELTON ST,-122.4061146,37.7296971
5/12/2015 1:01,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Tuesday,BAYVIEW,"ARREST, BOOKED",100 Block of FELTON ST,-122.4061146,37.7296971
5/12/2015 1:01,BURGLARY,"BURGLARY, VEHICLE, ATT. (ARREST MADE)",Tuesday,BAYVIEW,"ARREST, BOOKED",100 Block of FELTON ST,-122.4061146,37.7296971
5/12/2015 1:01,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Tuesday,BAYVIEW,"ARREST, BOOKED",100 Block of FELTON ST,-122.4061146,37.7296971
5/12/2015 1:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Tuesday,TENDERLOIN,NONE,300 Block of OFARRELL ST,-122.4105093,37.78604322
5/12/2015 1:00,VEHICLE THEFT,STOLEN TRUCK,Tuesday,SOUTHERN,NONE,1100 Block of HOWARD ST,-122.4113591,37.77649448
5/12/2015 1:00,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Tuesday,SOUTHERN,NONE,1100 Block of HOWARD ST,-122.4113591,37.77649448
5/12/2015 1:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,600 Block of CHESTNUT ST,-122.414077,37.80370389
5/12/2015 1:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
5/12/2015 1:00,ASSAULT,TRESPASS WITHIN 30 DAYS OF CREDIBLE THREAT,Tuesday,MISSION,NONE,1000 Block of POTRERO AV,-122.4065391,37.75648641
5/12/2015 1:00,ROBBERY,"ROBBERY, BODILY FORCE",Tuesday,MISSION,NONE,MARKET ST / CHURCH ST,-122.42895,37.76750273
5/12/2015 0:59,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Tuesday,BAYVIEW,NONE,1000 Block of CONNECTICUT ST,-122.3972019,37.75353512
5/12/2015 0:45,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,CENTRAL,NONE,LEAVENWORTH ST / VALLEJO ST,-122.4170328,37.79754233
5/12/2015 0:32,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,MISSION,"ARREST, BOOKED",MISSION ST / 16TH ST,-122.4196718,37.76505012
5/12/2015 0:15,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,TARAVAL,"ARREST, BOOKED",LINCOLN WY / 10TH AV,-122.4675141,37.76587643
5/12/2015 0:10,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,INGLESIDE,"ARREST, BOOKED",3100 Block of MISSION ST,-122.4186097,37.74744531
5/12/2015 0:10,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,INGLESIDE,"ARREST, BOOKED",3100 Block of MISSION ST,-122.4186097,37.74744531
5/12/2015 0:10,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,INGLESIDE,"ARREST, BOOKED",3100 Block of MISSION ST,-122.4186097,37.74744531
5/12/2015 0:01,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Tuesday,INGLESIDE,NONE,1700 Block of FELTON ST,-122.4218805,37.7255738
5/12/2015 0:01,DRUG/NARCOTIC,UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE,Tuesday,NORTHERN,"ARREST, BOOKED",1400 Block of POLK ST,-122.4206606,37.79009982
5/12/2015 0:01,FRAUD,"CREDIT CARD, THEFT BY USE OF",Tuesday,TARAVAL,NONE,0 Block of ASHTON AV,-122.4623236,37.71938766
5/12/2015 0:01,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,NORTHERN,"ARREST, BOOKED",EDDY ST / POLK ST,-122.4191831,37.78309982
5/12/2015 0:01,NON-CRIMINAL,LOST PROPERTY,Tuesday,CENTRAL,NONE,STOCKTON ST / PACIFIC AV,-122.4084331,37.79670393
5/11/2015 23:59,SEX OFFENSES FORCIBLE,SODOMY (ADULT VICTIM),Monday,MISSION,NONE,16TH ST / MISSION ST,-122.4196718,37.76505012
5/11/2015 23:56,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,INGLESIDE,NONE,500 Block of ALEMANY BL,-122.4213053,37.73216388
5/11/2015 23:45,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE,1800 Block of GREAT HY,-122.5082384,37.75188708
5/11/2015 23:35,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,NORTHERN,NONE,700 Block of POLK ST,-122.4193872,37.78378998
5/11/2015 23:30,ASSAULT,INFLICT INJURY ON COHABITEE,Monday,SOUTHERN,NONE,SOUTH VAN NESS AV / PLUM ST,-122.4179397,37.77086882
5/11/2015 23:20,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,MISSION,NONE,500 Block of GUERRERO ST,-122.4240369,37.76275139
5/11/2015 23:17,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,SOUTHERN,"ARREST, BOOKED",6TH ST / MARKET ST,-122.4102935,37.78223059
5/11/2015 23:00,TRESPASS,TRESPASSING,Monday,TENDERLOIN,"ARREST, BOOKED",200 Block of POWELL ST,-122.4082017,37.78688491
5/11/2015 23:00,ASSAULT,BATTERY OF A POLICE OFFICER,Monday,TENDERLOIN,"ARREST, BOOKED",200 Block of POWELL ST,-122.4082017,37.78688491
5/11/2015 23:00,OTHER OFFENSES,RESISTING ARREST,Monday,TENDERLOIN,"ARREST, BOOKED",200 Block of POWELL ST,-122.4082017,37.78688491
5/11/2015 23:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,INGLESIDE,NONE,400 Block of PERU AV,-122.4260752,37.72693585
5/11/2015 23:00,LARCENY/THEFT,GRAND THEFT BICYCLE,Monday,BAYVIEW,NONE,100 Block of CHANNEL ST,-122.3907533,37.77437923
5/11/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,RICHMOND,NONE,600 Block of 40TH AV,-122.5005171,37.77648768
5/11/2015 23:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,SOUTHERN,NONE,900 Block of HOWARD ST,-122.4065085,37.78033132
5/11/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,1100 Block of EDDY ST,-122.4257789,37.78231924
5/11/2015 23:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,TARAVAL,NONE,RANDOLPH ST / RAMSELL ST,-122.4661968,37.71428028
5/11/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,TARAVAL,NONE,MORAGA ST / 11TH AV,-122.4668619,37.75653395
5/11/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE,MORAGA ST / 8TH AV,-122.4862455,37.75568145
5/11/2015 22:51,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071
5/11/2015 22:45,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,MISSION,"ARREST, BOOKED",CAPP ST / 19TH ST,-122.4181201,37.76030123
5/11/2015 22:30,ROBBERY,"ROBBERY, BODILY FORCE",Monday,TENDERLOIN,NONE,600 Block of ELLIS ST,-122.4169161,37.78439445
5/11/2015 22:30,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,BAYVIEW,"ARREST, BOOKED",CARROLL AV / QUINT ST,-122.4027012,37.73026636
5/11/2015 22:30,OTHER OFFENSES,RESISTING ARREST,Monday,BAYVIEW,"ARREST, BOOKED",CARROLL AV / QUINT ST,-122.4027012,37.73026636
5/11/2015 22:30,ASSAULT,BATTERY OF A POLICE OFFICER,Monday,BAYVIEW,"ARREST, BOOKED",CARROLL AV / QUINT ST,-122.4027012,37.73026636
5/11/2015 22:23,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Monday,INGLESIDE,NONE,0 Block of LELAND AV,-122.4052482,37.71172271
5/11/2015 22:23,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,INGLESIDE,NONE,0 Block of LELAND AV,-122.4052482,37.71172271
5/11/2015 9:35,TRESPASS,TRESPASSING,Monday,NORTHERN,"ARREST, BOOKED",0 Block of MARINA BL,-122.4329516,37.80505202
5/11/2015 9:30,NON-CRIMINAL,LOST PROPERTY,Monday,SOUTHERN,NONE,100 Block of NEWMONTGOMERY ST,-122.4002726,37.78717897
5/11/2015 9:23,NON-CRIMINAL,AIDED CASE,Monday,TENDERLOIN,UNFOUNDED,500 Block of JONES ST,-122.4131357,37.7862599
5/11/2015 9:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Monday,RICHMOND,NONE,800 Block of 35TH AV,-122.495039,37.77299275
5/11/2015 9:00,VEHICLE THEFT,STOLEN TRUCK,Monday,BAYVIEW,NONE,300 Block of SALINAS AV,-122.3994552,37.72146465
5/11/2015 9:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Monday,CENTRAL,NONE,800 Block of LEAVENWORTH ST,-122.4153487,37.78885421
5/11/2015 9:00,NON-CRIMINAL,LOST PROPERTY,Monday,NORTHERN,NONE,1100 Block of POST ST,-122.4207757,37.78677548
5/11/2015 9:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,NORTHERN,NONE,2300 Block of LOMBARD ST,-122.4401987,37.79943523
5/11/2015 8:52,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,INGLESIDE,"ARREST, BOOKED",MISSION ST / GENEVA AV,-122.4410181,37.71645868
5/11/2015 8:49,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,INGLESIDE,"ARREST, BOOKED",500 Block of MONTEREY BL,-122.4469361,37.73165057
5/11/2015 8:47,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,INGLESIDE,"ARREST, BOOKED",SAN JOSE AV / SAINT MARYS AV,-122.4285386,37.73499402
5/11/2015 8:45,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Monday,INGLESIDE,NONE,300 Block of JUANITA WY,-122.4596484,37.73919894
5/11/2015 8:45,VEHICLE THEFT,STOLEN TRUCK,Monday,INGLESIDE,NONE,300 Block of JUANITA WY,-122.4596484,37.73919894
5/11/2015 8:40,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,CENTRAL,NONE,200 Block of SACRAMENTO ST,-122.3983835,37.79430355
5/11/2015 8:40,TRESPASS,TRESPASSING,Monday,CENTRAL,NONE,200 Block of SACRAMENTO ST,-122.3983835,37.79430355
5/11/2015 8:40,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,MISSION,NONE,2400 Block of MISSION ST,-122.4190253,37.75761347
5/11/2015 8:40,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,MISSION,NONE,2400 Block of MISSION ST,-122.4190253,37.75761347
5/11/2015 8:30,NON-CRIMINAL,COURTESY REPORT,Monday,MISSION,UNFOUNDED,1000 Block of POTRERO AV,-122.4065391,37.75648641
5/11/2015 8:30,SEX OFFENSES FORCIBLE,ASSAULT TO RAPE WITH BODILY FORCE,Monday,MISSION,UNFOUNDED,1000 Block of POTRERO AV,-122.4065391,37.75648641
5/11/2015 8:30,MISSING PERSON,MISSING JUVENILE,Monday,TARAVAL,NONE,300 Block of STRATFORD DR,-122.4732937,37.71935378
5/11/2015 8:30,MISSING PERSON,FOUND PERSON,Monday,TARAVAL,NONE,300 Block of STRATFORD DR,-122.4732937,37.71935378
5/11/2015 8:30,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Monday,MISSION,NONE,3200 Block of 22ND ST,-122.4193083,37.75545608
5/11/2015 8:30,NON-CRIMINAL,CASE CLOSURE,Monday,MISSION,UNFOUNDED,1000 Block of POTRERO AV,-122.4065391,37.75648641
5/11/2015 8:30,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,BAYVIEW,"ARREST, BOOKED",BAY SHORE BL / PAUL AV,-122.4007846,37.72361678
5/11/2015 8:15,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,SOUTHERN,NONE,700 Block of NATOMA ST,-122.4129044,37.77599818
5/11/2015 8:15,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Monday,RICHMOND,NONE,FULTON ST / 14TH AV,-122.4722981,37.77311436
5/11/2015 8:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,MISSION,NONE,1000 Block of POTRERO AV,-122.4065391,37.75648641
5/11/2015 8:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Monday,MISSION,NONE,100 Block of LIBERTY ST,-122.4245977,37.75755077
5/11/2015 8:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Monday,PARK,NONE,1600 Block of GROVE ST,-122.4437959,37.77524304
5/11/2015 8:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,SOUTHERN,NONE,700 Block of NATOMA ST,-122.4129044,37.77599818
5/11/2015 8:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,TARAVAL,NONE,1200 Block of 8TH AV,-122.4653786,37.76500573
